name,lat,lng,status,npsn,bentuk,telp,alamat,kelurahan,kecamatan
SDN 247 SUKAPURA KOTA BANDUNG,-6.921800000000,107.714900000000,Negeri,20258124,SD,0227832748,Jl. Manglayang I No.1 Kecamatan Cibiru,Palasari,Kec. Cibiru
SDN 248 SINDANGSARI KOTA BANDUNG,-6.926800000000,107.664700000000,Negeri,20245778,SD,082115365997,Jl. Cibodas Raya,Antapani Kidul,Kec. Antapani
SDN 249 ASTANAANYAR KOTA BANDUNG,-6.932400000000,107.600500000000,Negeri,20244993,SD,0225228386,Jl. Liogenteng No. 27,Nyengseret,Kec. Astanaanyar
SDN 250 JAKAPURWA KOTA BANDUNG,-6.961500000000,107.649600000000,Negeri,20245034,SD,0227500525,Jl. Jakamulya No.16,Kujangsari,Kec. Bandung Kidul
SDN 251 JAMIKA KOTA BANDUNG,-6.923200000000,107.587300000000,Negeri,20244975,SD,6001802,Jl. Pagarsih Gg. Pa Oyon,Jamika,Kec. Bojong Loa Kaler
SDN 252 SETIABUDI KOTA BANDUNG,-6.880000000000,107.578900000000,Negeri,20244937,SD,0222013447,Jl. Sarirasa Blok IV Sarijadi,Sarijadi,Kec. Sukasari
SDN 253 PANGGUNGSARI KOTA BANDUNG,-6.908900000000,107.702200000000,Negeri,20245731,SD,,Jl. Teritorial No.112,Cigending,Kec. Ujungberung
SDN 254 GRIYA BUMI ANTAPANI KOTA BANDUNG,-6.913000000000,107.653800000000,Negeri,20245583,SD,0227215348,Jl. Subang V No. 5,Antapani Tengah,Kec. Antapani
SDN 255 GRIYA BUMI ANTAPANI KOTA BANDUNG,-6.919600000000,107.658000000000,Negeri,20245575,SD,7214138,Jl. Cicalengka Raya No. 1,Antapani Kidul,Kec. Antapani
SDN 256 CIGONDEWAH HILIR KOTA BANDUNG,-6.945500000000,107.565900000000,Negeri,20244840,SD,02220560028,Jl. Cigondewah Rahayu RT. 02/05,Cigondewah Rahayu,Kec. Bandung Kulon
SDN 257 PELITA KOTA BANDUNG,-6.943899000000,107.632472000000,Negeri,20245257,SD,,Jl. Rajamantri Kidul No. 4,Turangga,Kec. Lengkong
SDN 258 SUKARELA KOTA BANDUNG,-6.923000000000,107.700900000000,Negeri,20245792,SD,0227816153,Jl. Panyawangan No. 7,Cipadung Kulon,Kec. Panyileukan
SDN 259 GRIYA BUMI ANTAPANI KOTA BANDUNG,-6.915300000000,107.665200000000,Negeri,20245580,SD,0227215682,Jl. Cibatu VI No. 1 Antapani,Antapani Tengah,Kec. Antapani
SDN 260 GRIYA BUMI ANTAPANI KOTA BANDUNG,-6.913200000000,107.667900000000,Negeri,20245582,SD,0227210232,Jl. Tanjungsari VI No. 40,Antapani Wetan,Kec. Antapani
SDN 261 MARGAHAYU RAYA KOTA BANDUNG,-6.945600000000,107.658100000000,Negeri,20246408,SD,0227535321,Jl. Jupiter No.92A,Sekejati,Kec. Buahbatu
SDN 262 PANYILEUKAN KOTA BANDUNG,-6.942000000000,107.716500000000,Negeri,20245724,SD,02287820537,Komp. Bumi Panyileukan F.1,Cipadung Kidul,Kec. Panyileukan
